session_id,lap,lap_time_s,lap_dist_m,max_speed_mph,avg_speed_mph,max_rpm,max_lat_g,max_accel_g,max_decel_g,pct_wot,avg_throttle,pct_braking,coolant_min_f,coolant_max_f,iat_min_f,iat_max_f,is_clean,clean_reason
20240829-103904,0,531.256,3198.0,100.662,3.0446628793225123,7162,0.18,0.14,0.47,0.016866619618913198,0.1508581876355215,0.7028228652081863,186.8,206.6,89.6,125.6,False,warmup
20240829-103904,1,99.329,3198.0,116.196,72.24688726207907,7558,1.3,1.04,0.49,0.3557833089311859,0.5482609768626445,0.1731332357247438,194.0,199.4,86.0,96.8,True,
20240829-103904,2,94.891,3198.0,121.789,75.73232447013488,7637,1.41,1.09,0.47,0.5171483622350674,0.6587617342480572,0.17803468208092485,195.8,199.4,86.0,91.4,True,
20240829-103904,3,95.84,3198.0,122.41,74.80087271341463,7903,1.32,1.09,0.52,0.5026676829268293,0.6434781716297872,0.17682926829268292,199.4,203.0,86.0,91.4,True,
20240829-103904,4,99.954,3198.0000000000005,116.818,71.52516140865737,7510,1.22,0.92,0.45,0.3294203961848863,0.5209587193302503,0.18121790168745414,201.2,204.8,86.0,91.4,True,
20240829-103904,5,101.639,3198.0,111.847,70.6693613415074,7759,1.17,0.71,0.45,0.3278038225748287,0.5030930540604581,0.14893617021276595,201.2,203.0,87.8,93.2,True,
20240829-103904,6,107.168,3198.0,108.74,66.90431203263087,7212,1.17,0.6,0.43,0.16961250849762066,0.41218726178081433,0.15771583956492183,201.2,203.0,89.6,95.0,True,
20240829-103904,7,151.719,3198.0,108.74,48.71919874274661,7686,1.13,0.72,0.53,0.12282398452611218,0.3303745286123632,0.2432301740812379,199.4,204.8,86.0,98.6,True,
20240829-103904,8,96.494,3198.0,119.925,74.35741551987768,7796,1.3,0.95,0.43,0.4709480122324159,0.605294888717687,0.172782874617737,201.2,203.0,86.0,93.2,True,
20240829-103904,9,93.926,3198.0,121.167,76.5006810579541,7840,1.41,1.05,0.49,0.5130299494360171,0.6520187159499836,0.16491637495138078,201.2,204.8,86.0,91.4,True,
20240829-103904,10,93.173,3198.0,121.789,76.99814781591263,8160,1.29,1.04,0.55,0.4789391575663027,0.618300266743578,0.16458658346333854,203.0,204.8,86.0,91.4,True,
20240829-103904,11,95.091,3198.0,121.167,75.26438752869166,7907,1.36,1.01,0.53,0.4334353481254782,0.5845921978867195,0.18286151491966335,203.0,204.8,86.0,91.4,True,
20240829-103904,12,163.943,3198.0,103.148,39.71004255793226,7380,1.07,0.82,0.57,0.03431372549019608,0.22646783058234182,0.13658645276292336,203.0,208.4,89.6,102.2,False,cooldown
