session_id,lap,lap_time_s,lap_dist_m,max_speed_mph,avg_speed_mph,max_rpm,max_lat_g,max_accel_g,max_decel_g,pct_wot,avg_throttle,pct_braking,coolant_min_f,coolant_max_f,iat_min_f,iat_max_f,is_clean,clean_reason
20250307-110826,0,750.315,3962.0,67.729,1.1258623542105533,7176,0.38,0.15,0.54,0.0014386271386733803,0.1379133074139999,0.8799260134614396,181.4,204.8,71.6,132.8,False,warmup
20250307-110826,1,128.624,3962.0000000000005,109.983,68.56134109195402,7787,1.25,1.03,0.51,0.3324712643678161,0.5356989400903283,0.23275862068965517,183.2,194.0,59.0,75.2,True,
20250307-110826,2,120.396,3961.9999999999995,125.517,72.86925464514164,7789,1.3,1.17,0.53,0.4352726165092903,0.6006581545654887,0.2506853487663722,192.2,199.4,59.0,66.2,True,
20250307-110826,3,122.819,3962.0,126.138,71.9379367353029,7803,1.27,1.07,0.46,0.41689048045359595,0.6054112289932252,0.23962996120561025,195.8,199.4,59.0,64.4,True,
20250307-110826,4,120.959,3962.0,125.517,72.62177388922703,7967,1.36,1.1,0.5,0.3959220937309799,0.5876066011527835,0.23950091296409007,197.6,201.2,59.0,64.4,True,
20250307-110826,5,122.409,3962.0,119.925,71.81306626865671,7997,1.32,1.11,0.51,0.3155223880597015,0.5579479911028944,0.2364179104477612,199.4,203.0,59.0,66.2,True,
20250307-110826,6,125.802,3962.0000000000005,126.138,69.93474853971962,7583,1.29,1.06,0.48,0.3247663551401869,0.523062601265369,0.22488317757009346,199.4,203.0,60.8,66.2,True,
20250307-110826,7,125.809,3962.0,108.119,70.02535854014599,7718,1.22,0.98,0.53,0.2846715328467153,0.5295553566791,0.24116788321167884,199.4,201.2,60.8,66.2,True,
20250307-110826,8,126.195,3961.9999999999995,125.517,69.58493016516952,7807,1.39,1.0,0.5,0.24920312952767315,0.47363204466477454,0.26224282816574906,199.4,201.2,60.8,66.2,True,
20250307-110826,9,208.924,3962.0000000000005,88.856,39.342921010496354,5612,1.04,0.54,0.36,0.008717310087173101,0.22845772037036685,0.26863547411492616,194.0,201.2,62.6,75.2,False,cooldown
